Profile URL,Name,Price,BHKS,WhyBuy,Amenities,Swimming Pool,Gymnasium,Status,Price per Sqft,Launch Date,Possession by,Total Towers,Total Units,Project Type,Property Type,Project Area,Occupancy Certificate,Commencement Certificate,Full Address,Pincode,About Developer,Specifications,Place,1 BHK,2 BHK,3 BHK,4 BHK,5 BHK,BHK Above 5
https://www.magicbricks.com/gandharva-nagari-community-moshi-pune-pdpid-4d4235303034363431,Gandharva Nagari Community,Call For Price,"1, 2 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,20-Jun,10,274,data not available in site,data not available in site,data not available in site,No,No,"Opp. Kendriya Vihar, Pune-Nashik Highway, Moshi, Pune, Maharashtra",412105,data not available in site,data not available in site, Moshi,yes,yes,No,No,No,No
https://www.magicbricks.com/om-shanti-homes-ambe-gaon-pune-pdpid-4d4235303735373535,Om Shanti Homes,Call For Price,"1, 2 BHKS",data not available in site,",Power Back Up,Security,Park,Visitor Parking,Kids Club,Kids Play Area,DTH Television Facility,Fire Fighting Equipment No,Swimming Pool No,Club House No,Lift No,Reserved Parking",Yes,Detail not provided,Ready To Move,data not available in site,9-Mar,12-Aug,7,140,data not available in site,data not available in site,2 Acre,No,No,Near s.b.I.bank ambegaon bk,410509,"Shanti Developers
                      	


                                Years of Experience - 21",data not available in site,Near s.b.I.bank ambegaon bk,yes,yes,No,No,No,No
https://www.magicbricks.com/bodh-asha-apartment-kharadi-pune-pdpid-4d4235323038383731,BODH ASHA APARTMENT,Call For Price,2 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,"Chintamani Park Road, Tukaram Nagar, Kharadi, Pune, Maharashtra",411014,data not available in site,data not available in site, Kharadi,No,yes,No,No,No,No
https://www.magicbricks.com/sukhwani-park-koregaon-park-pune-pdpid-4d4235313134323639,Sukhwani Park,Call For Price,"1, 2 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,"Koregaon Park, Pune.",411001,data not available in site,data not available in site,Koregaon Park,yes,yes,No,No,No,No
https://www.magicbricks.com/giriraj-heights-dighi-pune-pdpid-4d4235303232313537,Giriraj Heights,Call For Price,"1, 2 BHKS","Why Buy in this Project?
Air Port- 6 Kms
Bhosari- 2 Kms
Alandi- 6kms
Vishrantwadi Circle - 3 kms
Sai Temple- 3 kms.
+2 more",",Club House,Jogging and Strolling Track,Dance Studio,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Service/Goods Lift,Visitor Parking,Maintenance Staff",Yes,Detail not provided,Ready To Move,data not available in site,13-Apr,14-Nov,1,72,data not available in site,data not available in site,1 Acre,No,No,"163, Alandi Road, Dattanagar, Gokul Colony, Dighi, PCMC, Pune-411015",411015,Giriraj Associates,data not available in site, Dighi,yes,yes,No,No,No,No
https://www.magicbricks.com/regalia-wakad-pune-pdpid-4d4235313438313831,Regalia,Call For Price,"2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,12-Jan,4,183,data not available in site,data not available in site,3 Acre,data not available in site,data not available in site,data not available in site,411057,"Badhekar Developers
                      	


                                Years of Experience - 31",data not available in site,data not available in site,No,yes,yes,No,No,No
https://www.magicbricks.com/patil-regency-erandwane-pune-pdpid-4d4235313132393235,Patil Regency,Call For Price,2 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,"Erandwane, Pune.",411004,data not available in site,data not available in site,Erandwane,No,yes,No,No,No,No
https://www.magicbricks.com/riverdale-residences-kharadi-pune-pdpid-4d4235313235343537,Riverdale Residences,Call For Price,"2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Under Construction,data not available in site,data not available in site,21-Oct,data not available in site,data not available in site,data not available in site,data not available in site,5 Acre,data not available in site,data not available in site,data not available in site,411014,"Duville Estates
                      	


                                Years of Experience - 69","International Architecture and DesignPremium Bathroom and Electrical FittingsNatural Ventilation with Light in Every RoomFloor to Ceiling Glass WindowModular Kitchen Storage, Hob and ChimneyShower Partition in Master Bedroom ToiletGlazed Vitrified FlooringWooden Flooring in Master BedroomStylish Kitchen CabinetsInverter",data not available in site,No,yes,yes,No,No,No
https://www.magicbricks.com/madhu-pushpa-wakad-pune-pdpid-4d4235303033363435,Madhu Pushpa,Call For Price,3 BHKS,data not available in site,",Club House,Jogging and Strolling Track,Cycling & Jogging Track,Private Terrace/Garden,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Visitor Parking,Intercom Facility",Yes,Detail not provided,Ready To Move,data not available in site,10-Apr,12-Apr,3,177,data not available in site,data not available in site,7 Acre,Yes,Yes, Near Datta Mandir Road Wakad pune 411057,411057,"Karan Group Promoters and Builders
                      	


                                Years of Experience - 36",data not available in site, Near Datta Mandir Road Wakad pune 411057,No,No,yes,No,No,No
https://www.magicbricks.com/amba-vatika-nibm-road-pune-pdpid-4d4235303035353634,Amba Vatika,Call For Price,4 BHKS,data not available in site,",Club House,Cafeteria/Food Court,Jogging and Strolling Track,Outdoor Tennis Courts,Cycling & Jogging Track,Power Back Up,Security,Park,Reserved Parking,Service/Goods Lift,Visitor Parking,Maintenance Staff",Detail not provided,Detail not provided,Ready To Move,data not available in site,2-Apr,4-Dec,4,64,data not available in site,data not available in site,2 Acre,Yes,Yes,"Nibm Road Behind Baker's Point , Of Anand dham Trust Nibm Road Pune Maharashtra",411048,"Amba Group
                      	


                                Years of Experience - 27",data not available in site,Nibm Road Behind Baker's Point ,No,No,No,yes,No,No
